refs,hyps,same_indices,random_indices,same_index_bleu1,different_index_bleu1,same_index_bleu2,different_index_bleu2,same_index_bleu3,different_index_bleu3,same_index_bleu4,different_index_bleu4,same_index_rouge,different_index_rouge,same_index_bert,different_index_bert,same_index_bleurt,different_index_bleurt
regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar .,"{'25October_2010_Monday_tagesschau-17', 'die regenwolken lassen im laufe des tages nach am alpenrand schwächt sich ein wenig ab im norden und nordosten regnet es mitunter kräftig sonst zeigen sich auch die sterne .'}","(0, 0)","[555, 331]",26.66666666666667,24.999999999999996,16.609095970747997,15.075567228888186,12.536837148130132,0.0,9.24272533424404,0.0,28.621700879701006,24.999999999950003,73.9209234714508,64.35250043869019,0.40106087923049927,0.170101597905159
am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag .,"{'am donnerstag regnet es in der nordwesthälfte ab und an richtung südosten ist es mal sonnig mal wolkig und im laufe des freitags erwartet uns dann verbreitet unbeständiges wetter .', '25October_2010_Monday_tagesschau-24'}","(1, 1)","[641, 226]",30.000000000000004,21.42857142857143,14.383899044561527,0.0,0.0,0.0,0.0,0.0,29.714285714216647,15.951626835520266,76.97002291679382,67.4602210521698,0.5554611086845398,0.25840020179748535
vom nordmeer zieht ein kräftiges tief heran und bringt uns ab den morgenstunden heftige schneefälle zum teil auch gefrierenden regen .,"{'ein kräftiges tief über der nordsee sorgt ab morgen früh für teilweise kräftige schneefälle und gefrierenden regen .', '15December_2010_Wednesday_tagesschau-37'}","(2, 2)","[40, 541]",42.3240862445307,14.285714285714283,29.034083633546143,0.0,20.738688197662302,0.0,0.0,0.0,40.54859868810035,15.811965811896684,81.85043931007385,70.45031189918518,0.6861161589622498,0.28154635429382324
sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen .,"{'10March_2011_Thursday_heute-58', 'am wochenende wieder sonniger am samstag in küstennähe kühle temperaturen bis siebzehn grad .'}","(3, 3)","[298, 499]",34.98362686875651,7.6923076923076925,23.766694364746083,0.0,18.745356891893348,0.0,14.306909193989338,0.0,40.60189524105358,8.219954648462538,78.59607338905334,63.283079862594604,0.5523226857185364,0.23009547591209412
deutschland liegt morgen unter hochdruckeinfluss der die wolken weitgehend vertreibt .,"{'14August_2009_Friday_tagesschau-62', 'deutschland liegt morgen unter hochdruckeinfluss und einer mischung aus wolken und nebel .'}","(4, 4)","[583, 106]",53.846153846153854,18.18181818181818,42.365927286816174,0.0,36.58086754000064,0.0,31.455601883230702,0.0,57.539682539618994,20.310633213790656,83.81776809692383,67.23468899726868,0.5496571660041809,0.1728363335132599
am sonntag im nordwesten eine mischung aus sonne und wolken mit einigen zum teil gewittrigen schauern .,"{'14August_2009_Friday_tagesschau-73', 'am sonntag im norden und westen mal sonne mal wolken mit einzelnen gewittern .'}","(5, 5)","[341, 343]",46.1210141145937,10.714285714285714,29.309392955596486,0.0,17.944158607337513,0.0,0.0,0.0,44.33851377821339,11.554548623171469,82.67254829406738,67.15885996818542,0.5533656477928162,0.28930985927581787
örtlich schauer oder gewitter die heftig sein können .,"{'14August_2009_Friday_tagesschau-75', 'hier und da gibt es schauer oder gewitter die heftig sein können .'}","(6, 6)","[627, 309]",61.538461538461554,5.2688934434982695,59.914468951527816,0.0,58.06850761490637,0.0,55.93684915933074,0.0,68.35269993157804,6.566303651499947,88.2727324962616,62.63178586959839,0.7539201378822327,0.11729857325553894
in den nächsten tagen geht es auf jeden fall winterlich weiter immer wieder mal mit etwas schnee .,"{'26January_2010_Tuesday_heute-105', 'im laufe des tages wird es bei uns winterlicher mit schneeschauern .'}","(7, 7)","[586, 380]",15.163266492815833,24.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,18.571428571420732,16.666666666616667,76.31157636642456,67.63094663619995,0.5500715374946594,0.3405822813510895
und zum wochenende wird es dann sogar wieder ein bisschen kälter .,"{'am wochenende wird es noch kälter .', '26January_2010_Tuesday_heute-106'}","(8, 8)","[330, 362]",34.96726139692524,9.622060754546368,29.255709848175414,0.0,20.311732914425207,0.0,0.0,0.0,46.59584741670813,12.424961608263171,87.02893257141113,66.24492406845093,0.7037301659584045,0.054816536605358124
auch morgen erwartet uns eine ruhige herbstmischung aus hochnebel wolken und sonne .,"{'01November_2010_Monday_tagesschau-133', 'morgen erwartet uns eine meist trübe mischung aus nebel wolken und sonne .'}","(9, 9)","[65, 294]",69.23076923076921,4.999999999999999,58.834840541455215,0.0,50.11627948853365,0.0,39.832871551569504,0.0,69.23076923071922,5.230769230741207,86.538827419281,62.567877769470215,0.6652044057846069,0.3288481533527374
