text_ids,same_indices,random_indices,same_scores_i2t,different_scores_i2t
Rain and snow let go of the Alps in the night in the north and northeast falls here and there. Otherwise this is clear,"(0, 0)","[555, 331]",89.43073844909668,39.5870943069458
"On Thursday in the northern half in the southern half of the sun, clouds of clouds similar to the weather on Friday","(1, 1)","[641, 226]",66.1664810180664,26.97755002975464
A strong deep pulls up from the northern sea and from the morning hours there is violent snowfall sometimes also freezing rain,"(2, 2)","[40, 541]",69.81816673278809,50.358388900756836
"Sunny, a wonderful day with temperatures up to seventeen degrees here in the west is also sunny.","(3, 3)","[298, 499]",82.37020969390869,32.028586864471436
Germany will be under the influence of high pressure tomorrow that largely sells the clouds,"(4, 4)","[583, 106]",81.51332092285156,35.5095911026001
On Sunday in the northwest a mixture of sun and clouds with some sometimes thundering showers,"(5, 5)","[341, 343]",81.14851951599121,26.349955558776855
Local showers or thunderstorms that can be violent,"(6, 6)","[627, 309]",78.87763977050781,22.93325185775757
In the next few days it will definitely continue for winter with some snow,"(7, 7)","[586, 380]",80.96559810638428,38.37800121307373
And for the weekend it will even be a bit colder again,"(8, 8)","[330, 362]",64.94493103027344,47.25781059265137
A quiet autumn mix made of high fog clouds and sun awaits us tomorrow,"(9, 9)","[65, 294]",70.67786598205566,25.06510305404663
"Later, however, fog or high fog fields spread","(10, 10)","[469, 175]",86.38031482696533,26.722167015075684
They keep up to be quite tough tomorrow,"(11, 11)","[594, 50]",67.06568717956543,37.071449279785156
In Germany there are only weak air pressure differences,"(12, 12)","[190, 17]",58.49161911010742,35.12068033218384
Moist air flows from the Mediterranean in which strong thunderstorms can develop in part,"(13, 13)","[156, 533]",58.195624351501465,31.05527687072754
very similar temperatures than between six and eleven degrees today,"(14, 14)","[250, 235]",67.25111865997314,33.86796474456787
In the north half there is still individual violent showers and thunderstorms at the beginning of the night that partially gave up,"(15, 15)","[550, 275]",77.14813423156738,36.50763130187988
And by evening the snow border can also fall into the lowlands,"(16, 16)","[433, 148]",62.75596237182617,35.33642625808716
"And now the weather forecast for tomorrow Friday, fifteenth October","(17, 17)","[82, 419]",82.63253211975098,54.51140117645264
"Tomorrow morning a new low will form over the North Sea, which causes heavy rain from the north","(18, 18)","[103, 420]",70.6648817062378,31.73513889312744
Tonight it is partly clearly in the south but also fog,"(19, 19)","[521, 446]",69.24569702148438,51.67723083496094
"In the course of the north and northwest, there are sometimes heavy rain on individual thunderstorms","(20, 20)","[188, 24]",77.92545509338379,55.47064208984375
Tomorrow the sun shines everywhere again,"(21, 21)","[324, 371]",74.60740852355957,20.920061588287354
On Saturday it rains in the southeast and on the Baltic Sea there it is sometimes windy otherwise it only rains occasionally the sun shows itself,"(22, 22)","[456, 459]",77.9687271118164,25.024044036865234
On Thursday it is still changeable to the northwest in the southeastern half,"(23, 23)","[361, 75]",72.8730697631836,50.081703662872314
"In the west and northwest, the weather calms down again later","(24, 24)","[219, 453]",71.14343070983887,32.46381711959839
Tomorrow there will be strong shower or thunderstorms in the east and southeast with a mix of sun and clouds,"(25, 25)","[141, 434]",73.00045585632324,37.7557373046875
Temperatures just around zero degrees in the coldest in the north to minus five degrees,"(26, 26)","[41, 447]",77.53003883361816,50.04049110412598
The air that flows to us in the coming week is much cooler,"(27, 27)","[508, 159]",69.34218120574951,33.39340782165527
"On Tuesday it is sometimes friendly, some of them, some rain showers are sometimes also thunderstorms","(28, 28)","[399, 554]",64.70275592803955,45.595876693725586
On Sunday in the north and in the middle of showing it is stormy in the north,"(29, 29)","[154, 220]",84.96232509613037,25.605355739593506
Friendly weather in the south,"(30, 30)","[534, 161]",58.31959915161133,40.56054449081421
Thursday will be really blatant. We expect storms in Germany and large temperature differences six to twenty degrees,"(31, 31)","[615, 333]",76.91844940185547,32.225093364715576
Also on Saturday it rains or snowed it spreads later in the west and north,"(32, 32)","[186, 39]",76.9683837890625,31.898019790649414
"In the southwest tomorrow, values for freezing in the east to minus seven degrees","(33, 33)","[556, 254]",72.11834621429443,26.465639114379883
"In the southern half, night frost must be expected","(34, 34)","[534, 306]",73.12146663665771,45.54732418060303
On the day six degrees on the Alps and thirteen degrees on the Upper Rhine,"(35, 35)","[248, 167]",85.48549461364746,36.15949249267578
"And now the weather forecast for tomorrow Thursday, fifteenth October","(36, 36)","[22, 560]",77.29084777832031,46.32192802429199
Tonight plus four degrees on the Baltic Sea up to minus four degrees in the low mountain ranges,"(37, 37)","[306, 7]",88.84257411956787,42.97654438018799
And now the weather forecast for tomorrow Tuesday Thirteenth October,"(38, 38)","[33, 70]",85.70636749267578,22.54633378982544
It is friendly in the west,"(39, 39)","[260, 169]",67.11551475524902,42.3364896774292
similar weather then on Thursday,"(40, 40)","[102, 282]",61.9921932220459,34.27114486694336
"On Friday, many clouds bring the rain","(41, 41)","[112, 441]",76.1268424987793,45.319214820861816
In the east and southeast also snow or snow,"(42, 42)","[449, 222]",79.28375053405762,29.174479484558105
"On the day in the east a lot of sun in the western half, it rains between Lower Rhine and East Frisia","(43, 43)","[369, 371]",89.61060905456543,36.260432720184326
"First of all, the thunderstorm is only increased in the west from day to day it also increases to the east","(44, 44)","[161, 138]",78.10897064208984,30.39133644104004
"Tomorrow morning on the Baltic Sea still strong gusts, otherwise the wind blows weak to moderately from east to southeast","(45, 45)","[571, 516]",85.1264476776123,37.88734245300293
There even with slight plus degrees but otherwise it remains frosty,"(46, 46)","[505, 581]",74.42975425720215,17.78565740585327
And the coldest corner will remain the entire southeast,"(47, 47)","[262, 499]",84.0568037033081,47.132230281829834
And now the weather forecast for tomorrow Sunday the twelfth July,"(48, 48)","[267, 201]",77.17312812805176,37.68979454040527
At night the temperatures drop to fourteen to seven degrees,"(49, 49)","[209, 402]",85.13734912872314,33.190192222595215
Tomorrow maximum values between seventeen degrees in the Emsland and twenty -five degrees on the Upper Rhine,"(50, 50)","[549, 334]",78.29030990600586,21.9406156539917
"Also on Tuesday and Wednesday, the sun sometimes clouds in the southeastern half of the heavy thunderstorms","(51, 51)","[103, 59]",71.57264614105225,37.16714906692505
And now the weather forecast for tomorrow Tuesday February,"(52, 52)","[110, 158]",83.48208427429199,35.08560276031494
"The day begins in the east, in a friendly way, later in the northwest, the sun otherwise predominates more often the clouds predominate","(53, 53)","[85, 133]",75.20586013793945,20.66545295715332
In many places there are showers and thunderstorms that can be violent,"(54, 54)","[297, 485]",74.62979221343994,35.654541015625
"Especially above the mountain country, swing clouds can form in places during the day and in the southwest it has to be expected with isolated heat weather","(55, 55)","[156, 512]",65.62401866912842,44.8962345123291
Most of the time the wind blows weakly from western directions,"(56, 56)","[49, 314]",70.66496849060059,35.40167808532715
Now I wish you a nice evening,"(57, 57)","[127, 571]",68.73039817810059,50.977999210357666
"In the west and northwest, individual showers fall","(58, 58)","[35, 141]",78.81663703918457,23.68830919265747
Fresh wind with strong to stormy gusts near showers on the North Sea and on the mountains partially storm gusts,"(59, 59)","[513, 426]",61.380523681640625,13.5340096950531
And now the weather forecast for tomorrow Saturday Fifth December,"(60, 60)","[494, 304]",82.37423515319824,56.22250843048096
"After a short weather calming, a new low -skator will reach us from the west tomorrow","(61, 61)","[83, 326]",69.95153427124023,23.213640451431274
He again provides clouds that bring the rain in the mountains in the mountains,"(62, 62)","[12, 320]",75.04731845855713,31.866904258728027
"From Sunday it will be mild again, there are many clouds at times rain in the northwest windy","(63, 63)","[166, 403]",78.16113471984863,21.843350410461426
"On Monday and Tuesday, the sun can also be seen here and there","(64, 64)","[587, 286]",68.02281188964844,25.647562980651855
Tonight it is usually only cloudy or clearly in the northwest there are sometimes a few denser clouds,"(65, 65)","[257, 51]",79.14362716674805,20.680439949035645
Tomorrow must be expected with partially strong showers and thunderstorms,"(66, 66)","[219, 617]",84.92940711975098,33.49412775039673
on Saturday mostly friendly mostly dry and warmer,"(67, 67)","[23, 143]",85.3650312423706,13.577994346618652
"On Sunday, showers and thunderstorms move up again from the northwest","(68, 68)","[489, 504]",69.72836494445801,27.59438157081604
on the North Sea and on the mountains heavy gusts of wind,"(69, 69)","[112, 193]",66.83434677124023,47.96733617782593
Frost -free two to eight degrees under clouds tonight,"(70, 70)","[638, 595]",69.59379577636719,44.097951889038086
"And now the weather forecast for tomorrow Thursday, April 1st","(71, 71)","[238, 61]",81.26068496704102,42.61124229431152
The low in Scotland together with cool air will also ensure changeable weather tomorrow,"(72, 72)","[27, 272]",74.78562355041504,42.486900329589844
"On Friday, the sun is clouds and only individual shower in places the sun shows itself for a long time","(73, 73)","[257, 178]",74.7655897140503,45.404573917388916
And so a mixture of partially tough fog fields awaits us clouds and sunshine,"(74, 74)","[212, 154]",72.16147136688232,31.053224086761475
The new week begins changeable and cooler,"(75, 75)","[485, 180]",85.54218482971191,24.154301166534424
"Tomorrow we already have the thirty degrees in the south of France tomorrow and for us probably in the southwest, the twenty -five degrees","(76, 76)","[461, 466]",82.37413501739502,22.834970235824585
"Yes, Thursday is almost even more beautiful a little warmer","(77, 77)","[25, 280]",71.46076774597168,33.86639595031738
Around late afternoon or evening there is probably the first rain showers in the northwest,"(78, 78)","[603, 160]",74.46543598175049,20.69088077545166
Weak to moderate in the north also a fresh wind from east to southeast on the North Sea and on the mountains it is strong with stormy gusts,"(79, 79)","[155, 435]",73.80032730102539,55.26507329940796
on Thursday still unsteady but from Friday it will be slowly friendlier from the west,"(80, 80)","[407, 546]",70.69745922088623,32.72305202484131
weak to moderate on the mountains in gusts even strong wind in the north half from east to northeast otherwise from different directions,"(81, 81)","[95, 277]",72.05377864837646,38.03814697265625
The wind usually blows weak and comes from different directions,"(82, 82)","[99, 600]",76.3773422241211,29.905277252197266
"On Monday it is changeable, sometimes the sun, especially in the eastern half, some strong shower and thunderstorms","(83, 83)","[212, 105]",81.90369033813477,41.14811134338379
