refs,hyps,original_bleu1,original_bleu2,original_bleu3,original_bleu4,reordered_bleu1,reordered_bleu2,reordered_bleu3,reordered_bleu4,original_rouge,reordered_rouge,original_bert,reordered_bert,original_bleurt,reordered_bleurt
,"{'25October_2010_Monday_tagesschau-17', 'die regenwolken lassen im laufe des tages nach am alpenrand schwächt sich ein wenig ab im norden und nordosten regnet es mitunter kräftig sonst zeigen sich auch die sterne .'}",26.66666666666667,16.609095970747997,12.536837148130132,9.24272533424404,19.999999999999996,14.383899044561527,11.39047247542511,8.601325107393585,28.621700879701006,21.693121693055346,73.9209234714508,74.60846304893494,0.40106087923049927,0.4357929825782776
,"{'am donnerstag regnet es in der nordwesthälfte ab und an richtung südosten ist es mal sonnig mal wolkig und im laufe des freitags erwartet uns dann verbreitet unbeständiges wetter .', '25October_2010_Monday_tagesschau-24'}",30.000000000000004,14.383899044561527,0.0,0.0,26.66666666666667,13.561270072416209,0.0,0.0,29.714285714216647,26.06987802350006,76.97002291679382,77.35027074813843,0.5554611086845398,0.5869746208190918
,"{'ein kräftiges tief über der nordsee sorgt ab morgen früh für teilweise kräftige schneefälle und gefrierenden regen .', '15December_2010_Wednesday_tagesschau-37'}",42.3240862445307,29.034083633546143,20.738688197662302,0.0,19.885318151430436,0.0,0.0,0.0,40.54859868810035,15.702718334258565,81.85043931007385,77.25269198417664,0.6861161589622498,0.5953682661056519
,"{'10March_2011_Thursday_heute-58', 'am wochenende wieder sonniger am samstag in küstennähe kühle temperaturen bis siebzehn grad .'}",34.98362686875651,23.766694364746083,18.745356891893348,14.306909193989338,14.992982943752793,8.982966110742629,0.0,0.0,40.60189524105358,11.600541497431802,78.59607338905334,75.39823651313782,0.5523226857185364,0.46273231506347656
,"{'14August_2009_Friday_tagesschau-62', 'deutschland liegt morgen unter hochdruckeinfluss und einer mischung aus wolken und nebel .'}",53.846153846153854,42.365927286816174,36.58086754000064,31.455601883230702,38.46153846153847,17.90287185098582,0.0,0.0,57.539682539618994,25.242414763773358,83.81776809692383,77.08548307418823,0.5496571660041809,0.4559747576713562
,"{'am sonntag im norden und westen mal sonne mal wolken mit einzelnen gewittern .', '14August_2009_Friday_tagesschau-73'}",46.1210141145937,29.309392955596486,17.944158607337513,0.0,37.15190998929349,15.739751171727475,0.0,0.0,44.33851377821339,19.824561403473222,82.67254829406738,80.02479672431946,0.5533656477928162,0.4271166920661926
,"{'14August_2009_Friday_tagesschau-75', 'hier und da gibt es schauer oder gewitter die heftig sein können .'}",61.538461538461554,59.914468951527816,58.06850761490637,55.93684915933074,38.46153846153847,25.318484177091666,17.99537517757171,0.0,68.35269993157804,34.33070866135458,88.2727324962616,84.6912145614624,0.7539201378822327,0.7290667295455933
,"{'im laufe des tages wird es bei uns winterlicher mit schneeschauern .', '26January_2010_Tuesday_heute-105'}",15.163266492815833,0.0,0.0,0.0,10.987343836674063,0.0,0.0,0.0,18.571428571420732,13.040204788422677,76.31157636642456,70.62550783157349,0.5500715374946594,0.49396824836730957
,"{'am wochenende wird es noch kälter .', '26January_2010_Tuesday_heute-106'}",34.96726139692524,29.255709848175414,20.311732914425207,0.0,34.96726139692524,23.887187063648838,17.743933078983154,0.0,46.59584741670813,46.59584741670813,87.02893257141113,84.5100998878479,0.7037301659584045,0.6437015533447266
,"{'morgen erwartet uns eine meist trübe mischung aus nebel wolken und sonne .', '01November_2010_Monday_tagesschau-133'}",69.23076923076921,58.834840541455215,50.11627948853365,39.832871551569504,53.846153846153854,36.68996928526713,23.04450251853145,0.0,69.23076923071922,39.872611464910804,86.538827419281,81.61894679069519,0.6652044057846069,0.6291192173957825
