text_ids,original_i2t,reordered_i2t
"In the night, rain and snow let go of the Alps in the north and northeast, falling here and there. Otherwise, this is clear.",89.43073844909668,87.90223217010498
"On Thursday in the southern half, clouds similar to the weather on Friday appear in the northern half of the sun.",66.1664810180664,62.083757400512695
"From the northern sea, a strong deep pulls up, and from the morning hours, there is sometimes violent snowfall and also freezing rain.",69.81816673278809,72.53746795654297
"Here in the west, it is also a wonderful sunny day with temperatures up to seventeen degrees.",82.37020969390869,78.54067611694336
"Tomorrow, Germany will be under the influence of high pressure that largely dispels the clouds.",81.51332092285156,71.41752243041992
A mixture of sun and clouds with some sometimes thundering showers in the northwest on Sunday.,81.14851951599121,78.27808666229248
Showers or thunderstorms that can be violent locally,78.87763977050781,78.65376949310303
"In the next few days, winter will definitely continue with some snow.",80.96559810638428,81.60029220581055
And it will even be a bit colder again for the weekend.,64.94493103027344,62.6536169052124
Tomorrow awaits us with a quiet autumn mix of high fog clouds and sun.,70.67786598205566,77.15670585632324
"However, later, fog or high fog fields spread.",86.38031482696533,83.28007698059082
They are expected to be quite tough tomorrow.,67.06568717956543,56.88776397705078
There are only weak air pressure differences in Germany.,58.49161911010742,56.50197410583496
Strong thunderstorms can develop in part where moist air flows from the Mediterranean.,58.195624351501465,45.48733615875244
Temperatures between six and eleven degrees today are very similar.,67.25111865997314,62.938222885131836
"In the north half, there are still individual violent showers and thunderstorms that partially gave up at the beginning of the night.",77.14813423156738,75.59990119934082
The snow border can also fall into the lowlands by evening.,62.75596237182617,61.36825370788574
"And now the weather forecast for Friday, fifteenth October, tomorrow.",82.63253211975098,79.66837882995605
"A new low will form over the North Sea tomorrow morning, causing heavy rain from the north.",70.6648817062378,68.83615493774414
Tonight it is partly clear in the south but also foggy.,69.24569702148438,71.39251518249512
There are sometimes heavy rain on individual thunderstorms in the course of the north and northwest.,77.92545509338379,65.95080852508545
The sun shines everywhere again tomorrow.,74.60740852355957,65.87042617797852
"On Saturday, it rains in the southeast and on the Baltic Sea, where it is sometimes windy; otherwise, it only rains occasionally, and the sun shows itself.",77.9687271118164,80.07501029968262
"In the southeastern half, it is still changeable to the northwest on Thursday.",72.8730697631836,75.51925849914551
"Later, the weather calms down again in the west and northwest.",71.14343070983887,68.07378768920898
