refs,hyps,original_bleu1,original_bleu2,original_bleu3,original_bleu4,reordered_bleu1,reordered_bleu2,reordered_bleu3,reordered_bleu4,original_rouge,reordered_rouge,original_bert,reordered_bert,original_bleurt,reordered_bleurt
"人民解放军在人民解放军的帮助下,在敌人的危险中努力消灭敌人。","人民解放军在人民解放军的帮助下,在敌人的危险中努力消灭敌人。",26.66666666666667,16.609095970747997,12.536837148130132,9.24272533424404,29.0472019948777,16.387935755394484,12.44795411294695,9.892603295115684,28.621700879701006,26.35327635326245,73.9209234714508,70.6984281539917,0.40106087923049927,0.41423648595809937
"人民解放军在处理危险,集中力量消灭敌人。","人民解放军在处理危险,集中力量消灭敌人。",30.000000000000004,14.383899044561527,0.0,0.0,19.97226502188477,15.650344962093566,13.13229004402737,10.739707427327533,29.714285714216647,26.36195302602942,76.97002291679382,71.52082920074463,0.5554611086845398,0.5458470582962036
"改革后,政府不但废除了改革的机构,还废除了改革的机构。","改革后,政府不但废除了改革的机构,还废除了改革的机构。",42.3240862445307,29.034083633546143,20.738688197662302,0.0,41.27124026191912,27.147954178847474,17.625092846013196,12.064331421131714,40.54859868810035,39.1858776547043,81.85043931007385,78.24999690055847,0.6861161589622498,0.48631101846694946
"政客们在改革后,不但废除了改革的那些机会,也废除了改革的那些机会。","政客们在改革后,不但废除了改革的那些机会,也废除了改革的那些机会。",34.98362686875651,23.766694364746083,18.745356891893348,14.306909193989338,30.303030303030308,13.762047064079509,0.0,0.0,40.60189524105358,28.79355501767586,78.59607338905334,73.85721206665039,0.5523226857185364,0.4058987498283386
"我国今年春回大地,艾滋病的患病率大大减少了。","我国今年春回大地,艾滋病的患病率大大减少了。",53.846153846153854,42.365927286816174,36.58086754000064,31.455601883230702,40.90909090909091,31.209389196617963,21.356177054395943,15.047149445189385,57.539682539618994,35.3535353534761,83.81776809692383,79.95247840881348,0.5496571660041809,0.38018178939819336
奶奶老奶奶老是留着一副节约的好习惯。,奶奶老奶奶老是留着一副节约的好习惯。,46.1210141145937,29.309392955596486,17.944158607337513,0.0,35.62113269055303,30.666805378790684,26.61066791896942,23.824789497063357,44.33851377821339,42.720437457268524,82.67254829406738,77.0595133304596,0.5533656477928162,0.4697146415710449
"家里生活很好,奶奶老是节约。","家里生活很好,奶奶老是节约。",61.538461538461554,59.914468951527816,58.06850761490637,55.93684915933074,34.96726139692524,22.95006698459309,0.0,0.0,68.35269993157804,37.27667793336674,88.2727324962616,80.45607209205627,0.7539201378822327,0.6529913544654846
"水资源很贵,我们要注意节约水资源。","水资源很贵,我们要注意节约水资源。",15.163266492815833,0.0,0.0,0.0,64.70588235294115,40.219983326992185,22.093482189977408,0.0,18.571428571420732,54.445554445498736,76.31157636642456,85.48062443733215,0.5500715374946594,0.8083162903785706
"水资源是贵重的,我们要注意节约水资源。","水资源是贵重的,我们要注意节约水资源。",34.96726139692524,29.255709848175414,20.311732914425207,0.0,68.42105263157896,47.75669329409194,34.2699609841253,22.39521374625909,46.59584741670813,48.57773225114651,87.02893257141113,87.62462735176086,0.7037301659584045,0.7769390344619751
他父母的勤俭节约养成了长辈的储蓄习惯。,他父母的勤俭节约养成了长辈的储蓄习惯。,69.23076923076921,58.834840541455215,50.11627948853365,39.832871551569504,47.368421052631575,0.0,0.0,0.0,69.23076923071922,33.129459734904515,86.538827419281,75.98351240158081,0.6652044057846069,0.5133260488510132
