text_ids,original_i2t,reordered_i2t
"He is old, four years.",80.48476600646973,78.64014434814453
What is today’s day?,70.26960563659668,66.27498817443848
I want to eat noodles today.,89.9697494506836,90.84958267211914
When did you know and Xiao Zhang?,79.10655689239502,78.98887729644775
I want to buy a chair at the supermarket; are you going too?,81.14472770690918,81.25913619995117
I want to buy a chair at the supermarket; are you going too?,81.14472770690918,81.25913619995117
"In the afternoon, what do they do?",77.45565128326416,79.03864479064941
When do they want chairs to buy?,84.1512451171875,83.55181884765625
I get up at 6 o'clock every day.,76.59175968170166,75.35930824279785
He is tired of returning each day.,84.58714962005615,75.149169921875
He is tired of returning each day.,84.58714962005615,75.149169921875
Is this your watch?,70.51447772979736,71.2739143371582
Is this your watch?,70.51447772979736,71.2739143371582
What is the cost to purchase this watch?,73.88224506378174,61.27719688415527
Can you see my cup?,77.74482345581055,75.21448516845703
Can you see my cup?,77.74482345581055,75.21448516845703
Here are a few cups; which one is yours?,57.74092102050781,61.996665954589844
"The room on the left belongs to my father and mother, and it is large.",77.5212869644165,68.47892379760742
"The room on the left belongs to my father and mother, and it is large.",77.5212869644165,68.47892379760742
Who sent the WeChat.,73.53755760192871,74.72783184051514
Who sent the WeChat.,73.53755760192871,74.72783184051514
He started playing football when?,79.76470947265625,75.29177665710449
He started playing football when?,79.76470947265625,75.29177665710449
Did you purchase Apple?,73.03355407714844,73.70174026489258
Did you purchase Apple?,73.03355407714844,73.70174026489258
How about we go to a restaurant at night?,86.00669479370117,86.84638023376465
How about this dress? Look at me.,73.4710807800293,73.09185981750488
Today's weather is a bit cold.,83.0640640258789,86.0833387374878
"Yesterday, I was a little tired.",80.11515808105469,80.03199863433838
"This month, I swim every day.",77.75677299499512,77.18435668945312
"This month, I swim every day.",77.75677299499512,77.18435668945312
"He went to see his classmate, no.",76.32479095458984,72.01058006286621
"He went to see his classmate, no.",76.32479095458984,72.01058006286621
"Yes, there is a restaurant not far from here, and it will take a few minutes to arrive.",77.14425563812256,73.99179363250732
"Yes, there is a restaurant not far from here, and it will take a few minutes to arrive.",77.14425563812256,73.99179363250732
"Why doesn't she take a taxi, since the company is far away from home?",79.62063407897949,67.19193840026855
"Why doesn't she take a taxi, since the company is far away from home?",79.62063407897949,67.19193840026855
How about these new red clothes?,76.87499713897705,80.96910285949707
How about these new red clothes?,76.87499713897705,80.96910285949707
Is the girl with the mobile phone on the left your girlfriend?,74.95497989654541,71.5460901260376
Is the girl with the mobile phone on the left your girlfriend?,74.95497989654541,71.5460901260376
I get up later than you.,66.44718170166016,51.437225341796875
I get up later than you.,66.44718170166016,51.437225341796875
"It's really cold today, it's snowing.",83.2452564239502,78.97579956054688
"It's really cold today, it's snowing.",83.2452564239502,78.97579956054688
"That boy, I don't know.",63.7671537399292,68.81403160095215
The New Year is coming so fast that time is.,77.09115695953369,73.59213161468506
The New Year is coming so fast that time is.,77.09115695953369,73.59213161468506
"All the time, that can't go online.",69.71147537231445,67.91533279418945
"All the time, that can't go online.",69.71147537231445,67.91533279418945
"The bread, fruit, and tea are ready. What else should we bring?",84.4471263885498,83.87997722625732
"The bread, fruit, and tea are ready. What else should we bring?",84.4471263885498,83.87997722625732
"Yesterday afternoon, I was ready.",63.35100936889648,60.528388023376465
"Yesterday afternoon, I was ready.",63.35100936889648,60.528388023376465
"I am so fat, you see, what should I do?",75.57621574401855,68.12873554229736
"I am so fat, you see, what should I do?",75.57621574401855,68.12873554229736
What exercise did you do? You are not thin at all.,65.43703842163086,59.619842529296875
What exercise did you do? You are not thin at all.,65.43703842163086,59.619842529296875
"What happens tomorrow? On a cloudy day, what's wrong with the TV that it is showing cloudy weather?",69.72033405303955,68.31283187866211
"What happens tomorrow? On a cloudy day, what's wrong with the TV that it is showing cloudy weather?",69.72033405303955,68.31283187866211
"I have something to do, so I don't go to climb the mountain.",79.03118801116943,68.23855781555176
"I have something to do, so I don't go to climb the mountain.",79.03118801116943,68.23855781555176
"You already have two such pants, I remember.",81.94174194335938,74.75448799133301
"You already have two such pants, I remember.",81.94174194335938,74.75448799133301
How about these pants?,91.17180633544922,91.01664924621582
How about these pants?,91.17180633544922,91.01664924621582
"On the table, there are a lot of drinks; what do you drink?",79.18424224853516,78.5427188873291
Did you just go to the room to find what you put on the table just now?,77.89333152770996,77.04050827026367
The school is big and too tired.,83.66650772094727,85.36987113952637
Why don't I drink coffee anymore?,77.30722332000732,71.90788078308105
Why don't I drink coffee anymore?,77.30722332000732,71.90788078308105
Why don't you go now then?,77.82335662841797,80.73288917541504
Why don't you go now then?,77.82335662841797,80.73288917541504
Would you like to take a few days off?,57.5028247833252,54.00098896026611
"Is that girl from your company, Xiao Zhang? Do you know her?",82.95155143737793,83.74731063842773
"Is that girl from your company, Xiao Zhang? Do you know her?",82.95155143737793,83.74731063842773
There's no need to go to the hospital. I asked you how long you haven't exercised.,75.51971244812012,77.28742980957031
Explain your reasons for choosing to work at our company.,79.67681694030762,69.01603889465332
I believe my wife will agree as long as I agree.,74.29304218292236,75.31011486053467
I believe my wife will agree as long as I agree.,74.29304218292236,75.31011486053467
"Thank you for giving me this opportunity; I will work hard, no.",56.20888996124268,53.332682609558105
"Thank you for giving me this opportunity; I will work hard, no.",56.20888996124268,53.332682609558105
"First, put the tea and cups, and then take out the watermelon from the refrigerator.",68.46407699584961,70.7602310180664
"First, put the tea and cups, and then take out the watermelon from the refrigerator.",68.46407699584961,70.7602310180664
I wore a dress small and gave it to my brother.,79.69261169433594,78.30268669128418
Shanghai will be snowing tomorrow.,70.14183902740479,72.58042621612549
"After lunch, eat more fruits.",68.46358299255371,71.2238597869873
"For breakfast, I eat bread and milk.",79.74595737457275,83.43180274963379
"For breakfast, I eat bread and milk.",79.74595737457275,83.43180274963379
I treat you to what you eat.,66.36547756195068,58.39981460571289
I treat you to what you eat.,66.36547756195068,58.39981460571289
Where is this dress? I want to try it.,76.90539169311523,70.23699474334717
Where is this dress? I want to try it.,76.90539169311523,70.23699474334717
"The weather forecast predicts snowing tomorrow, so wear more clothes.",88.36140823364258,87.22654914855957
"The weather forecast predicts snowing tomorrow, so wear more clothes.",88.36140823364258,87.22654914855957
The hospital is next to the supermarket.,67.70914649963379,78.19572162628174
"For you, I booked a birthday cake.",70.22975826263428,69.54036331176758
"For you, I booked a birthday cake.",70.22975826263428,69.54036331176758
"Winter is so beautiful, and I like it.",66.40167999267578,60.73758506774902
"Winter is so beautiful, and I like it.",66.40167999267578,60.73758506774902
"In Shanghai, the summer is too hot not to buy air conditioners.",81.81191921234131,81.24197959899902
