text_ids,video_ids,same_indices,random_indices,same_scores_i2t,different_scores_i2t
He is four years old.,S000020_P0004_T00,"(0, 0)","[887, 137]",80.48476600646973,45.81488037109375
What day today?,S000040_P0008_T00,"(1, 1)","[241, 189]",70.26960563659668,33.429229736328125
Today I want to eat noodles.,S000054_P0008_T00,"(2, 2)","[862, 721]",89.9697494506836,47.485239028930664
When did you and Xiao Zhang know?,S000153_P0000_T00,"(3, 3)","[983, 161]",79.10655689239502,21.179967403411865
"I want to go to the supermarket to buy a chair, do you go?",S000185_P0004_T00,"(4, 4)","[295, 792]",81.14472770690918,26.52628803253174
"I want to go to the supermarket to buy a chair, do you go?",S000185_P0008_T00,"(5, 5)","[635, 993]",81.14472770690918,27.619348764419556
What do they do in the afternoon?,S000195_P0004_T00,"(6, 6)","[33, 243]",77.45565128326416,42.51773548126221
When do they want to buy chairs?,S000196_P0008_T00,"(7, 7)","[437, 1000]",84.1512451171875,40.165672302246094
I get up at 6 o'clock a day.,S000201_P0000_T00,"(8, 8)","[32, 72]",76.59175968170166,52.98716735839844
He is tired of coming back every day.,S000213_P0004_T00,"(9, 9)","[349, 999]",84.58714962005615,47.95711898803711
He is tired of coming back every day.,S000213_P0008_T00,"(10, 10)","[350, 348]",84.58714962005615,51.255452156066895
Is this watch you?,S000218_P0004_T00,"(11, 11)","[437, 866]",70.51447772979736,36.687939167022705
Is this watch you?,S000218_P0008_T00,"(12, 12)","[270, 1125]",70.51447772979736,32.37584114074707
How much does this watch buy?,S000220_P0000_T00,"(13, 13)","[1117, 705]",73.88224506378174,41.32346248626709
Do you see my cup?,S000224_P0000_T00,"(14, 14)","[996, 281]",77.74482345581055,52.170172691345215
Do you see my cup?,S000224_P0008_T00,"(15, 15)","[464, 1002]",77.74482345581055,51.39834928512573
"There are a few cups here, which one is yours?",S000225_P0004_T00,"(16, 16)","[584, 145]",57.74092102050781,24.783748149871826
"The room on the left is my father and mother, and their room is large.",S000230_P0000_T00,"(17, 17)","[1055, 1127]",77.5212869644165,38.74878406524658
"The room on the left is my father and mother, and their room is large.",S000230_P0008_T00,"(18, 18)","[796, 408]",77.5212869644165,36.59395503997803
Who sent WeChat.,S000236_P0000_T00,"(19, 19)","[790, 179]",73.53755760192871,37.284361362457275
